division_number,division_name,timestamp,expected_athletes,athletes_scraped,athletes_successful,athletes_failed,upload_status,total_time_seconds,success_percentage
1,Women's 11 Under Age Group 36kg,2025-08-10T21:42:52.562Z,28,28,28,0,UPLOAD_STARTED,239,100
2,Women's 11 Under Age Group 40kg,2025-08-10T21:44:02.913Z,24,24,24,0,UPLOAD_STARTED,65,100
3,Women's 11 Under Age Group 44kg,2025-08-10T21:45:13.853Z,39,39,39,0,UPLOAD_STARTED,66,100
4,Women's 11 Under Age Group 48kg,2025-08-10T21:46:29.292Z,144,30,30,0,UPLOAD_STARTED,70,21
5,Women's 11 Under Age Group 53kg,2025-08-10T21:48:48.319Z,339,339,339,0,UPLOAD_STARTED,134,100
6,Women's 11 Under Age Group 58kg,2025-08-10T21:52:43.637Z,602,601,601,0,UPLOAD_STARTED,230,100
7,Women's 11 Under Age Group 63kg,2025-08-10T21:56:49.430Z,661,661,661,0,UPLOAD_STARTED,241,100
8,Women's 11 Under Age Group 63+kg,2025-08-10T22:07:02.859Z,1631,1627,1627,0,UPLOAD_STARTED,608,100
9,Men's 11 Under Age Group 40kg,2025-08-10T22:08:30.666Z,49,49,49,0,UPLOAD_STARTED,83,100
10,Men's 11 Under Age Group 44kg,2025-08-10T22:10:21.481Z,49,49,49,0,UPLOAD_STARTED,106,100
11,Men's 11 Under Age Group 48kg,2025-08-10T22:11:56.535Z,55,55,55,0,UPLOAD_STARTED,90,100
12,Men's 11 Under Age Group 52kg,2025-08-10T22:13:31.369Z,77,77,77,0,UPLOAD_STARTED,90,100
13,Men's 11 Under Age Group 56kg,2025-08-10T22:15:02.033Z,127,127,127,0,UPLOAD_STARTED,86,100
14,Men's 11 Under Age Group 60kg,2025-08-10T22:16:51.801Z,133,133,133,0,UPLOAD_STARTED,105,100
15,Men's 11 Under Age Group 65kg,2025-08-10T22:19:19.665Z,289,289,289,0,UPLOAD_STARTED,143,100
