Division
Junior Men's 60kg
Junior Men's 65kg
Junior Men's 71kg
Junior Men's 79kg
Junior Men's 88kg
Junior Men's 94kg
Junior Men's 110kg
Junior Men's 110+kg
Women's Masters (35-39) 48kg
Women's Masters (35-39) 53kg
Women's Masters (35-39) 58kg
Women's Masters (35-39) 63kg
Women's Masters (35-39) 69kg
Women's Masters (35-39) 77kg
Women's Masters (35-39) 86kg
Women's Masters (35-39) 86+kg
Men's Masters (35-39) 60kg
Men's Masters (35-39) 65kg
Men's Masters (35-39) 71kg
Men's Masters (35-39) 79kg
Men's Masters (35-39) 88kg
Men's Masters (35-39) 94kg
Men's Masters (35-39) 110kg
Men's Masters (35-39) 110+kg
Women's Masters (40-44) 48kg
Women's Masters (40-44) 53kg
Women's Masters (40-44) 58kg
Women's Masters (40-44) 63kg
Women's Masters (40-44) 69kg
Women's Masters (40-44) 77kg
Women's Masters (40-44) 86kg
Women's Masters (40-44) 86+kg
Men's Masters (40-44) 60kg
Men's Masters (40-44) 65kg
Men's Masters (40-44) 71kg
Men's Masters (40-44) 79kg
Men's Masters (40-44) 88kg
Men's Masters (40-44) 94kg
Men's Masters (40-44) 110kg
Men's Masters (40-44) 110+kg
Women's Masters (45-49) 48kg
Women's Masters (45-49) 53kg
Women's Masters (45-49) 58kg
Women's Masters (45-49) 63kg
Women's Masters (45-49) 69kg
Women's Masters (45-49) 77kg
Women's Masters (45-49) 86kg
Women's Masters (45-49) 86+kg
Men's Masters (45-49) 60kg
Men's Masters (45-49) 65kg
Men's Masters (45-49) 71kg
Men's Masters (45-49) 79kg
Men's Masters (45-49) 88kg
Men's Masters (45-49) 94kg
Men's Masters (45-49) 110kg
Men's Masters (45-49) 110+kg
Women's Masters (50-54) 48kg
Women's Masters (50-54) 53kg
Women's Masters (50-54) 58kg
Women's Masters (50-54) 63kg
Women's Masters (50-54) 69kg
Women's Masters (50-54) 77kg
Women's Masters (50-54) 86kg
Women's Masters (50-54) 86+kg
Men's Masters (50-54) 60kg
Men's Masters (50-54) 65kg
Men's Masters (50-54) 71kg
Men's Masters (50-54) 79kg
Men's Masters (50-54) 88kg
Men's Masters (50-54) 94kg
Men's Masters (50-54) 110kg
Men's Masters (50-54) 110+kg
