division_number,division_name,timestamp,expected_athletes,athletes_scraped,athletes_successful,athletes_failed,upload_status,total_time_seconds

1,Men's 11 Under Age Group 65+kg,2025-08-06T19:51:12.163Z,0,0,0,NO_UPLOAD_NEEDED,1754509611428,NaN
1,Men's 11 Under Age Group 65+kg,2025-08-06T19:52:04.125Z,0,0,0,NO_UPLOAD_NEEDED,1754509572617,NaN
1,Men's 11 Under Age Group 65+kg,2025-08-06T19:52:26.787Z,6258,359,359,0,UPLOAD_STARTED,312
1,Men's 11 Under Age Group 65+kg,2025-08-06T19:52:55.586Z,7912,240,240,0,UPLOAD_STARTED,350
1,Men's 11 Under Age Group 65+kg,2025-08-06T19:53:19.253Z,10384,30,30,0,UPLOAD_STARTED,402
1,Men's 11 Under Age Group 65+kg,2025-08-06T20:07:03.657Z,4128,3622,3622,0,UPLOAD_STARTED,1641

2012,Men's 11 Under Age Group 65+kg,2025-08-06T21:23:05.544Z,1504,1467,1467,0,UPLOAD_STARTED,1257
2013,Men's 11 Under Age Group 65+kg,2025-08-06T22:11:47.229Z,4128,3953,3953,0,UPLOAD_STARTED,1497
2014,Men's 11 Under Age Group 65+kg,2025-08-07T00:00:30.081Z,4776,4669,4669,0,UPLOAD_STARTED,1381
2015,Men's 11 Under Age Group 65+kg,2025-08-07T01:24:17.110Z,0,0,0,NO_UPLOAD_NEEDED,1754529659662,NaN
