division_number,division_name,timestamp,expected_athletes,athletes_scraped,athletes_successful,athletes_failed,upload_status,total_time_seconds
1,Junior Men's 60kg,2025-08-09T03:13:45.750Z,89,89,89,0,UPLOAD_STARTED,175
2,Junior Men's 65kg,2025-08-09T03:14:58.745Z,74,74,74,0,UPLOAD_STARTED,68
3,Junior Men's 71kg,2025-08-09T03:16:29.243Z,159,159,159,0,UPLOAD_STARTED,85
4,Junior Men's 79kg,2025-08-09T03:18:18.104Z,208,208,208,0,UPLOAD_STARTED,104
5,Junior Men's 88kg,2025-08-09T03:20:01.560Z,205,204,204,0,UPLOAD_STARTED,98
6,Junior Men's 94kg,2025-08-09T03:21:20.179Z,86,86,86,0,UPLOAD_STARTED,74
7,Junior Men's 110kg,2025-08-09T03:22:51.629Z,108,108,108,0,UPLOAD_STARTED,86
8,Junior Men's 110+kg,2025-08-09T03:24:05.639Z,60,60,60,0,UPLOAD_STARTED,69
9,Women's Masters (35-39) 48kg,2025-08-09T03:25:09.557Z,5,5,5,0,UPLOAD_STARTED,59
10,Women's Masters (35-39) 53kg,2025-08-09T03:26:17.447Z,27,27,27,0,UPLOAD_STARTED,63
11,Women's Masters (35-39) 58kg,2025-08-09T03:27:43.511Z,72,72,72,0,UPLOAD_STARTED,81
12,Women's Masters (35-39) 63kg,2025-08-09T03:29:21.373Z,121,121,121,0,UPLOAD_STARTED,93
13,Women's Masters (35-39) 69kg,2025-08-09T03:31:00.294Z,119,119,119,0,UPLOAD_STARTED,94
14,Women's Masters (35-39) 77kg,2025-08-09T03:32:42.530Z,122,122,122,0,UPLOAD_STARTED,97
15,Women's Masters (35-39) 86kg,2025-08-09T03:34:06.609Z,74,73,73,0,UPLOAD_STARTED,79
