division_number,division_name,timestamp,expected_athletes,athletes_scraped,athletes_successful,athletes_failed,upload_status,total_time_seconds
1,Women's Masters (55-59) 48kg,2025-08-09T03:13:41.472Z,4,4,4,0,UPLOAD_STARTED,158
2,Women's Masters (55-59) 53kg,2025-08-09T03:14:45.615Z,8,8,8,0,UPLOAD_STARTED,59
3,Women's Masters (55-59) 58kg,2025-08-09T03:15:46.791Z,15,15,15,0,UPLOAD_STARTED,56
4,Women's Masters (55-59) 63kg,2025-08-09T03:16:56.499Z,20,20,20,0,UPLOAD_STARTED,65
5,Women's Masters (55-59) 69kg,2025-08-09T03:18:03.427Z,17,17,17,0,UPLOAD_STARTED,62
6,Women's Masters (55-59) 77kg,2025-08-09T03:19:10.111Z,17,17,17,0,UPLOAD_STARTED,62
7,Women's Masters (55-59) 86kg,2025-08-09T03:20:16.597Z,11,11,11,0,UPLOAD_STARTED,61
8,Women's Masters (55-59) 86+kg,2025-08-09T03:21:20.944Z,5,5,5,0,UPLOAD_STARTED,59
9,Men's Masters (55-59) 60kg,2025-08-09T03:22:31.211Z,Unknown,1,1,0,UPLOAD_STARTED,65
10,Men's Masters (55-59) 65kg,2025-08-09T03:23:33.111Z,0,0,0,NO_UPLOAD_NEEDED,1754709756214,NaN
11,Men's Masters (55-59) 71kg,2025-08-09T03:24:40.082Z,6,6,6,0,UPLOAD_STARTED,62
12,Men's Masters (55-59) 79kg,2025-08-09T03:25:43.879Z,14,14,14,0,UPLOAD_STARTED,59
13,Men's Masters (55-59) 88kg,2025-08-09T03:26:57.562Z,25,25,25,0,UPLOAD_STARTED,69
14,Men's Masters (55-59) 94kg,2025-08-09T03:28:09.337Z,12,12,12,0,UPLOAD_STARTED,67
15,Men's Masters (55-59) 110kg,2025-08-09T03:29:18.490Z,19,19,19,0,UPLOAD_STARTED,64
16,Men's Masters (55-59) 110+kg,2025-08-09T03:30:25.670Z,11,11,11,0,UPLOAD_STARTED,62
17,Women's Masters (60-64) 48kg,2025-08-09T03:31:40.571Z,3,3,3,0,UPLOAD_STARTED,70
18,Women's Masters (60-64) 53kg,2025-08-09T03:32:58.075Z,9,9,9,0,UPLOAD_STARTED,72
19,Women's Masters (60-64) 58kg,2025-08-09T03:34:05.520Z,9,9,9,0,UPLOAD_STARTED,62
