division_number,division_name,timestamp,expected_athletes,athletes_scraped,athletes_successful,athletes_failed,upload_status,total_time_seconds
_2020
1,Open Women's 48kg,2025-08-09T03:14:24.812Z,96,96,96,0,UPLOAD_STARTED,179
2,Open Women's 53kg,2025-08-09T03:16:22.270Z,281,281,281,0,UPLOAD_STARTED,112
3,Open Women's 58kg,2025-08-09T03:19:57.769Z,649,649,649,0,UPLOAD_STARTED,210
4,Open Women's 63kg,2025-08-09T03:24:51.433Z,880,879,879,0,UPLOAD_STARTED,289
5,Open Women's 69kg,2025-08-09T03:29:55.891Z,849,848,848,0,UPLOAD_STARTED,299
6,Open Women's 77kg,2025-08-09T03:35:52.345Z,951,950,950,0,UPLOAD_STARTED,351
7,Open Women's 86kg,2025-08-09T03:39:25.150Z,464,464,464,0,UPLOAD_STARTED,208
8,Open Women's 86+kg,2025-08-09T03:42:30.025Z,449,448,448,0,UPLOAD_STARTED,180
9,Open Men's 60kg,2025-08-09T03:43:52.570Z,134,133,133,0,UPLOAD_STARTED,78
10,Open Men's 65kg,2025-08-09T03:45:29.314Z,154,154,154,0,UPLOAD_STARTED,92
11,Open Men's 71kg,2025-08-09T03:47:52.464Z,387,386,386,0,UPLOAD_STARTED,138
12,Open Men's 79kg,2025-08-09T03:52:24.992Z,765,765,765,0,UPLOAD_STARTED,268
13,Open Men's 88kg,2025-08-09T03:59:13.587Z,1176,1176,1176,0,UPLOAD_STARTED,403
14,Open Men's 94kg,2025-08-09T04:03:05.420Z,625,625,625,0,UPLOAD_STARTED,227
15,Open Men's 110kg,2025-08-09T04:09:28.843Z,982,977,977,0,UPLOAD_STARTED,378
16,Open Men's 110+kg,2025-08-09T04:12:26.670Z,337,335,335,0,UPLOAD_STARTED,173
17,(Inactive) Women's 13 Under Age Group 31kg,2025-08-09T04:13:41.387Z,28,28,28,0,UPLOAD_STARTED,70
18,(Inactive) Women's 13 Under Age Group 35kg,2025-08-09T04:15:13.824Z,38,37,37,0,UPLOAD_STARTED,87
19,(Inactive) Women's 13 Under Age Group 39kg,2025-08-09T04:16:45.147Z,44,44,44,0,UPLOAD_STARTED,86
