division_number,division_name,timestamp,expected_athletes,athletes_scraped,athletes_successful,athletes_failed,upload_status,total_time_seconds
_2020
1,(Inactive) Men's 14-15 Age Group 50 Kg,2025-08-09T03:14:17.300Z,32,32,32,0,UPLOAD_STARTED,186
2,(Inactive) Men's 14-15 Age Group 56 Kg,2025-08-09T03:15:21.380Z,41,41,41,0,UPLOAD_STARTED,59
3,(Inactive) Men's 14-15 Age Group 62 kg,2025-08-09T03:16:33.114Z,44,44,44,0,UPLOAD_STARTED,67
4,(Inactive) Men's 14-15 Age Group 69 kg,2025-08-09T03:17:48.113Z,44,44,44,0,UPLOAD_STARTED,70
5,(Inactive) Men's 14-15 Age Group 77 kg,2025-08-09T03:19:04.460Z,44,44,44,0,UPLOAD_STARTED,71
6,(Inactive) Men's 14-15 Age Group 85 Kg,2025-08-09T03:20:18.299Z,32,32,32,0,UPLOAD_STARTED,69
7,(Inactive) Men's 14-15 Age Group +85 kg,2025-08-09T03:21:33.836Z,58,58,58,0,UPLOAD_STARTED,71
8,(Inactive) Men's 14-15 Age Group 39kg,2025-08-09T03:22:46.870Z,6,6,6,0,UPLOAD_STARTED,68
9,(Inactive) Men's 14-15 Age Group 44kg,2025-08-09T03:23:53.831Z,14,14,14,0,UPLOAD_STARTED,62
10,(Inactive) Men's 14-15 Age Group 49kg,2025-08-09T03:25:03.193Z,26,26,26,0,UPLOAD_STARTED,64
11,(Inactive) Men's 14-15 Age Group 55kg,2025-08-09T03:26:23.671Z,43,43,43,0,UPLOAD_STARTED,75
12,(Inactive) Men's 14-15 Age Group 61kg,2025-08-09T03:27:40.808Z,43,43,43,0,UPLOAD_STARTED,72
13,(Inactive) Men's 14-15 Age Group 67kg,2025-08-09T03:28:58.250Z,41,41,41,0,UPLOAD_STARTED,72
14,(Inactive) Men's 14-15 Age Group 73kg,2025-08-09T03:30:20.609Z,33,33,33,0,UPLOAD_STARTED,77
15,(Inactive) Men's 14-15 Age Group 81kg,2025-08-09T03:31:48.818Z,33,33,33,0,UPLOAD_STARTED,83
16,(Inactive) Men's 14-15 Age Group 89kg,2025-08-09T03:33:08.579Z,28,28,28,0,UPLOAD_STARTED,75
17,(Inactive) Men's 14-15 Age Group +89kg,2025-08-09T03:34:30.822Z,42,42,42,0,UPLOAD_STARTED,77
18,(Inactive) Women's 16-17 Age Group 44 kg,2025-08-09T03:35:44.746Z,4,4,4,0,UPLOAD_STARTED,69
