division_number,division_name,timestamp,expected_athletes,athletes_scraped,athletes_successful,athletes_failed,upload_status,total_time_seconds
_2020
1,(Inactive) Women's Masters (50-54) +75 kg,2025-08-09T20:07:37.065Z,32,32,32,0,UPLOAD_STARTED,164
2,(Inactive) Women's Masters (50-54) 48 kg,2025-08-09T20:08:37.780Z,4,4,4,0,UPLOAD_STARTED,56
3,(Inactive) Women's Masters (50-54) 53 kg,2025-08-09T20:09:40.435Z,10,10,10,0,UPLOAD_STARTED,58
4,(Inactive) Women's Masters (50-54) 58 kg,2025-08-09T20:10:48.425Z,32,32,32,0,UPLOAD_STARTED,63
5,(Inactive) Women's Masters (50-54) 63 kg,2025-08-09T20:12:00.662Z,56,56,56,0,UPLOAD_STARTED,67
6,(Inactive) Women's Masters (50-54) 69 kg,2025-08-09T20:13:17.142Z,72,72,72,0,UPLOAD_STARTED,71
7,(Inactive) Women's Masters (50-54) 75 kg,2025-08-09T20:14:37.865Z,95,95,95,0,UPLOAD_STARTED,76
8,(Inactive) Women's Masters (50-54) 90 kg,2025-08-09T20:15:45.532Z,19,19,19,0,UPLOAD_STARTED,63
9,(Inactive) Women's Masters (50-54) +90 kg,2025-08-09T20:16:52.501Z,14,14,14,0,UPLOAD_STARTED,62
10,(Inactive) Women's Masters (50-54) 45kg,2025-08-09T20:17:56.153Z,0,0,0,NO_UPLOAD_NEEDED,1754770617504,NaN
11,(Inactive) Women's Masters (50-54) 49kg,2025-08-09T20:18:58.036Z,7,7,7,0,UPLOAD_STARTED,57
12,(Inactive) Women's Masters (50-54) 55kg,2025-08-09T20:20:01.989Z,19,19,19,0,UPLOAD_STARTED,59
13,(Inactive) Women's Masters (50-54) 59kg,2025-08-09T20:21:08.488Z,23,23,23,0,UPLOAD_STARTED,61
14,(Inactive) Women's Masters (50-54) 64kg,2025-08-09T20:22:13.659Z,24,24,24,0,UPLOAD_STARTED,60
15,(Inactive) Women's Masters (50-54) 71kg,2025-08-09T20:23:24.305Z,22,22,22,0,UPLOAD_STARTED,66
16,(Inactive) Women's Masters (50-54) 76kg,2025-08-09T20:24:34.663Z,10,10,10,0,UPLOAD_STARTED,65
17,(Inactive) Women's Masters (50-54) 81kg,2025-08-09T20:25:47.637Z,9,9,9,0,UPLOAD_STARTED,68
18,(Inactive) Women's Masters (50-54) 87kg,2025-08-09T20:26:48.443Z,10,10,10,0,UPLOAD_STARTED,56
19,(Inactive) Women's Masters (50-54) +87kg,2025-08-09T20:27:53.200Z,14,14,14,0,UPLOAD_STARTED,60
20,(Inactive) Women's Masters (55-59) +75 kg,2025-08-09T20:28:58.472Z,17,17,17,0,UPLOAD_STARTED,60
21,(Inactive) Women's Masters (55-59) 48 kg,2025-08-09T20:30:00.410Z,4,4,4,0,UPLOAD_STARTED,57
22,(Inactive) Women's Masters (55-59) 53 kg,2025-08-09T20:31:03.382Z,10,10,10,0,UPLOAD_STARTED,58
23,(Inactive) Women's Masters (55-59) 58 kg,2025-08-09T20:32:07.071Z,23,23,23,0,UPLOAD_STARTED,59
24,(Inactive) Women's Masters (55-59) 63 kg,2025-08-09T20:33:18.380Z,40,40,40,0,UPLOAD_STARTED,66
25,(Inactive) Women's Masters (55-59) 69 kg,2025-08-09T20:34:29.488Z,54,54,54,0,UPLOAD_STARTED,66
26,(Inactive) Women's Masters (55-59) 75 kg,2025-08-09T20:35:43.829Z,70,70,70,0,UPLOAD_STARTED,69
27,(Inactive) Women's Masters (55-59) 90 kg,2025-08-09T20:36:48.958Z,14,14,14,0,UPLOAD_STARTED,60
28,(Inactive) Women's Masters (55-59) +90 kg,2025-08-09T20:37:56.140Z,4,4,4,0,UPLOAD_STARTED,62
29,(Inactive) Women's Masters (55-59) 45kg,2025-08-09T20:39:01.849Z,2,2,2,0,UPLOAD_STARTED,61
