division_number,division_name,timestamp,expected_athletes,athletes_scraped,athletes_successful,athletes_failed,upload_status,total_time_seconds
_2020
1,(Inactive) Women's Masters (70-74) 45kg,2025-08-09T20:07:38.850Z,0,0,0,NO_UPLOAD_NEEDED,1754769895060,NaN
2,(Inactive) Women's Masters (70-74) 49kg,2025-08-09T20:08:39.377Z,0,0,0,NO_UPLOAD_NEEDED,1754770063870,NaN
3,(Inactive) Women's Masters (70-74) 55kg,2025-08-09T20:09:41.922Z,3,3,3,0,UPLOAD_STARTED,58
4,(Inactive) Women's Masters (70-74) 59kg,2025-08-09T20:10:46.388Z,Unknown,1,1,0,UPLOAD_STARTED,59
5,(Inactive) Women's Masters (70-74) 64kg,2025-08-09T20:11:49.383Z,0,0,0,NO_UPLOAD_NEEDED,1754770251389,NaN
6,(Inactive) Women's Masters (70-74) 71kg,2025-08-09T20:12:52.533Z,Unknown,1,1,0,UPLOAD_STARTED,58
7,(Inactive) Women's Masters (70-74) 76kg,2025-08-09T20:13:56.733Z,0,0,0,NO_UPLOAD_NEEDED,1754770377536,NaN
8,(Inactive) Women's Masters (70-74) 81kg,2025-08-09T20:14:58.435Z,Unknown,1,1,0,UPLOAD_STARTED,57
9,(Inactive) Women's Masters (70-74) 87kg,2025-08-09T20:16:02.224Z,Unknown,1,1,0,UPLOAD_STARTED,59
10,(Inactive) Women's Masters (70-74) +87kg,2025-08-09T20:17:06.321Z,0,0,0,NO_UPLOAD_NEEDED,1754770567226,NaN
11,(Inactive) Women's Masters (75+) +75 kg,2025-08-09T20:18:14.626Z,0,0,0,NO_UPLOAD_NEEDED,1754770631324,NaN
12,(Inactive) Women's Masters (75+) 48 kg,2025-08-09T20:19:16.075Z,0,0,0,NO_UPLOAD_NEEDED,1754770699628,NaN
13,(Inactive) Women's Masters (75+) 53 kg,2025-08-09T20:20:24.467Z,0,0,0,NO_UPLOAD_NEEDED,1754770761077,NaN
14,(Inactive) Women's Masters (75+) 58 kg,2025-08-09T20:21:25.969Z,0,0,0,NO_UPLOAD_NEEDED,1754770829581,NaN
15,(Inactive) Women's Masters (75+) 63 kg,2025-08-09T20:22:27.827Z,Unknown,1,1,0,UPLOAD_STARTED,57
16,(Inactive) Women's Masters (75+) 69 kg,2025-08-09T20:23:36.509Z,2,2,2,0,UPLOAD_STARTED,64
17,(Inactive) Women's Masters (75+) 75 kg,2025-08-09T20:24:44.243Z,2,2,2,0,UPLOAD_STARTED,63
18,(Inactive) Women's Masters (75+) 90 kg,2025-08-09T20:25:51.454Z,0,0,0,NO_UPLOAD_NEEDED,1754771089245,NaN
19,(Inactive) Women's Masters (75+) +90 kg,2025-08-09T20:26:50.739Z,0,0,0,NO_UPLOAD_NEEDED,1754771156455,NaN
20,(Inactive) Women's Masters (75+) 45kg,2025-08-09T20:27:53.238Z,0,0,0,NO_UPLOAD_NEEDED,1754771215741,NaN
21,(Inactive) Women's Masters (75+) 49kg,2025-08-09T20:28:56.613Z,0,0,0,NO_UPLOAD_NEEDED,1754771278277,NaN
22,(Inactive) Women's Masters (75+) 55kg,2025-08-09T20:29:57.683Z,0,0,0,NO_UPLOAD_NEEDED,1754771341617,NaN
23,(Inactive) Women's Masters (75+) 59kg,2025-08-09T20:30:59.091Z,0,0,0,NO_UPLOAD_NEEDED,1754771402707,NaN
24,(Inactive) Women's Masters (75+) 64kg,2025-08-09T20:32:00.719Z,2,2,2,0,UPLOAD_STARTED,57
25,(Inactive) Women's Masters (75+) 71kg,2025-08-09T20:33:03.117Z,0,0,0,NO_UPLOAD_NEEDED,1754771525722,NaN
26,(Inactive) Women's Masters (75+) 76kg,2025-08-09T20:34:05.557Z,0,0,0,NO_UPLOAD_NEEDED,1754771588118,NaN
27,(Inactive) Women's Masters (75+) 81kg,2025-08-09T20:35:08.511Z,0,0,0,NO_UPLOAD_NEEDED,1754771650561,NaN
28,(Inactive) Women's Masters (75+) 87kg,2025-08-09T20:36:10.793Z,0,0,0,NO_UPLOAD_NEEDED,1754771713512,NaN
29,(Inactive) Women's Masters (75+) +87kg,2025-08-09T20:37:13.228Z,0,0,0,NO_UPLOAD_NEEDED,1754771775795,NaN
30,(Inactive) Open Women's +75 kg,2025-08-09T20:42:32.439Z,1048,1046,1046,0,UPLOAD_STARTED,314
31,(Inactive) Open Women's 48 kg,2025-08-09T20:43:52.711Z,96,96,96,0,UPLOAD_STARTED,75
32,(Inactive) Open Women's 53 kg,2025-08-09T20:45:55.295Z,281,281,281,0,UPLOAD_STARTED,118
33,(Inactive) Open Women's 58 kg,2025-08-09T20:49:31.953Z,649,649,649,0,UPLOAD_STARTED,212
34,(Inactive) Open Women's 63 kg,2025-08-09T20:54:09.480Z,880,880,880,0,UPLOAD_STARTED,273
35,(Inactive) Open Women's 69 kg,2025-08-09T20:58:26.920Z,849,848,848,0,UPLOAD_STARTED,252
36,(Inactive) Open Women's 75 kg,2025-08-09T21:02:26.769Z,797,797,797,0,UPLOAD_STARTED,235
