division_number,division_name,timestamp,expected_athletes,athletes_scraped,athletes_successful,athletes_failed,upload_status,total_time_seconds
_2020
1,(Inactive) Men's Masters (75-79) 56 kg,2025-08-09T20:07:44.395Z,0,0,0,NO_UPLOAD_NEEDED,1754769910197,NaN
2,(Inactive) Men's Masters (75-79) 62 kg,2025-08-09T20:08:45.284Z,Unknown,1,1,0,UPLOAD_STARTED,56
3,(Inactive) Men's Masters (75-79) 69 kg,2025-08-09T20:09:47.367Z,0,0,0,NO_UPLOAD_NEEDED,1754770130306,NaN
4,(Inactive) Men's Masters (75-79) 77 kg,2025-08-09T20:10:48.519Z,2,2,2,0,UPLOAD_STARTED,56
5,(Inactive) Men's Masters (75-79) 85 kg,2025-08-09T20:11:49.971Z,Unknown,1,1,0,UPLOAD_STARTED,56
6,(Inactive) Men's Masters (75-79) 94 kg,2025-08-09T20:12:52.902Z,2,2,2,0,UPLOAD_STARTED,58
7,(Inactive) Men's Masters (75-79) 105 kg,2025-08-09T20:13:57.201Z,4,4,4,0,UPLOAD_STARTED,59
8,(Inactive) Men's Masters (75-79) +105 kg,2025-08-09T20:14:58.553Z,Unknown,1,1,0,UPLOAD_STARTED,56
9,(Inactive) Men's Masters (75-79) 55kg,2025-08-09T20:16:01.839Z,0,0,0,NO_UPLOAD_NEEDED,1754770503561,NaN
10,(Inactive) Men's Masters (75-79) 61kg,2025-08-09T20:17:04.962Z,Unknown,1,1,0,UPLOAD_STARTED,58
11,(Inactive) Men's Masters (75-79) 67kg,2025-08-09T20:18:12.520Z,0,0,0,NO_UPLOAD_NEEDED,1754770629963,NaN
12,(Inactive) Men's Masters (75-79) 73kg,2025-08-09T20:19:14.693Z,Unknown,1,1,0,UPLOAD_STARTED,57
13,(Inactive) Men's Masters (75-79) 81kg,2025-08-09T20:20:20.659Z,Unknown,1,1,0,UPLOAD_STARTED,61
14,(Inactive) Men's Masters (75-79) 89kg,2025-08-09T20:21:23.135Z,2,2,2,0,UPLOAD_STARTED,57
15,(Inactive) Men's Masters (75-79) 96kg,2025-08-09T20:22:25.127Z,2,2,2,0,UPLOAD_STARTED,57
16,(Inactive) Men's Masters (75-79) 102kg,2025-08-09T20:23:34.399Z,2,2,2,0,UPLOAD_STARTED,64
17,(Inactive) Men's Masters (75-79) 109kg,2025-08-09T20:24:41.282Z,Unknown,1,1,0,UPLOAD_STARTED,62
18,(Inactive) Men's Masters (75-79) +109kg,2025-08-09T20:25:50.243Z,Unknown,1,1,0,UPLOAD_STARTED,64
19,(Inactive) Men's Masters (80+) 56 kg,2025-08-09T20:26:49.149Z,0,0,0,NO_UPLOAD_NEEDED,1754771155243,NaN
20,(Inactive) Men's Masters (80+) 62 kg,2025-08-09T20:27:50.095Z,Unknown,1,1,0,UPLOAD_STARTED,56
21,(Inactive) Men's Masters (80+) 69 kg,2025-08-09T20:28:53.188Z,3,3,3,0,UPLOAD_STARTED,58
22,(Inactive) Men's Masters (80+) 77 kg,2025-08-09T20:29:54.254Z,2,2,2,0,UPLOAD_STARTED,56
23,(Inactive) Men's Masters (80+) 85 kg,2025-08-09T20:30:56.684Z,3,3,3,0,UPLOAD_STARTED,57
24,(Inactive) Men's Masters (80+) 94 kg,2025-08-09T20:31:59.204Z,2,2,2,0,UPLOAD_STARTED,58
25,(Inactive) Men's Masters (80+) 105 kg,2025-08-09T20:33:03.814Z,0,0,0,NO_UPLOAD_NEEDED,1754771524246,NaN
26,(Inactive) Men's Masters (80+) +105 kg,2025-08-09T20:34:06.323Z,0,0,0,NO_UPLOAD_NEEDED,1754771588814,NaN
27,(Inactive) Men's Masters (80+) 55kg,2025-08-09T20:35:09.300Z,0,0,0,NO_UPLOAD_NEEDED,1754771651324,NaN
28,(Inactive) Men's Masters (80+) 61kg,2025-08-09T20:36:12.130Z,Unknown,1,1,0,UPLOAD_STARTED,58
29,(Inactive) Men's Masters (80+) 67kg,2025-08-09T20:37:14.327Z,2,2,2,0,UPLOAD_STARTED,57
30,(Inactive) Men's Masters (80+) 73kg,2025-08-09T20:38:20.859Z,2,2,2,0,UPLOAD_STARTED,62
31,(Inactive) Men's Masters (80+) 81kg,2025-08-09T20:39:29.931Z,2,2,2,0,UPLOAD_STARTED,64
32,(Inactive) Men's Masters (80+) 89kg,2025-08-09T20:40:37.125Z,3,3,3,0,UPLOAD_STARTED,62
33,(Inactive) Men's Masters (80+) 96kg,2025-08-09T20:41:39.773Z,0,0,0,NO_UPLOAD_NEEDED,1754772042129,NaN
34,(Inactive) Men's Masters (80+) 102kg,2025-08-09T20:42:42.231Z,0,0,0,NO_UPLOAD_NEEDED,1754772104814,NaN
35,(Inactive) Men's Masters (80+) 109kg,2025-08-09T20:43:45.189Z,0,0,0,NO_UPLOAD_NEEDED,1754772167244,NaN
36,(Inactive) Men's Masters (80+) +109kg,2025-08-09T20:44:51.928Z,0,0,0,NO_UPLOAD_NEEDED,1754772230248,NaN
37,(Inactive) Open Men's 56 kg,2025-08-09T20:46:12.498Z,76,76,76,0,UPLOAD_STARTED,76
38,(Inactive) Open Men's 62 kg,2025-08-09T20:47:44.599Z,129,129,129,0,UPLOAD_STARTED,87
39,(Inactive) Open Men's 69 kg,2025-08-09T20:50:09.157Z,327,327,327,0,UPLOAD_STARTED,140
40,(Inactive) Open Men's 77 kg,2025-08-09T20:53:59.159Z,664,664,664,0,UPLOAD_STARTED,225
41,(Inactive) Open Men's 85 kg,2025-08-09T20:58:50.993Z,969,969,969,0,UPLOAD_STARTED,287
42,(Inactive) Open Men's 94 kg,2025-08-09T21:03:57.200Z,1000,1000,1000,0,UPLOAD_STARTED,301
43,(Inactive) Open Men's 105 kg,2025-08-09T21:07:26.366Z,796,796,796,0,UPLOAD_STARTED,204
44,(Inactive) Open Men's +105 kg,2025-08-09T21:17:35.131Z,796,786,786,0,UPLOAD_STARTED,604
45,(Inactive) Open Men's 55kg,2025-08-09T21:19:14.041Z,73,73,73,0,UPLOAD_STARTED,94
46,(Inactive) Open Men's 61kg,2025-08-09T21:21:34.621Z,126,126,126,0,UPLOAD_STARTED,136
47,(Inactive) Open Men's 67kg,2025-08-09T21:25:43.323Z,293,293,293,0,UPLOAD_STARTED,244
48,(Inactive) Open Men's 73kg,2025-08-09T21:33:02.526Z,555,554,554,0,UPLOAD_STARTED,434
49,(Inactive) Open Men's 81kg,2025-08-09T21:44:33.979Z,901,884,884,0,UPLOAD_STARTED,686
50,(Inactive) Open Men's 89kg,2025-08-09T21:56:27.075Z,946,922,922,0,UPLOAD_STARTED,708
